,最寄駅：距離（分）,面積（㎡）,延床面積（㎡）,建築年,地区名,取引価格（総額）,市区町村コード,年号,和暦_年,築年数
755,30,130,100,令和4年,東大谷,33000000,40105,令和,4,0.0
756,30,210,130,平成10年,東大谷,19000000,40105,平成,10,25.0
763,30,220,180,平成17年,福柳木,28000000,40105,平成,17,18.0
765,14,200,95,昭和54年,牧山,8500000,40105,昭和,54,44.0
766,14,75,90,昭和59年,牧山,4000000,40105,昭和,59,39.0
767,18,185,100,昭和54年,牧山,16000000,40105,昭和,54,44.0
770,14,100,90,昭和47年,丸町,2200000,40105,昭和,47,51.0
772,30,80,145,昭和47年,南鳥旗町,2200000,40105,昭和,47,51.0
774,4,280,1100,平成16年,南鳥旗町,150000000,40105,平成,16,19.0
784,30,440,140,平成26年,赤坂,33000000,40106,平成,26,9.0
787,30,165,115,平成15年,赤坂,19000000,40106,平成,15,20.0
799,30,130,140,令和4年,足原,46000000,40106,令和,4,0.0
801,30,120,135,昭和56年,足原,8700000,40106,昭和,56,42.0
805,30,170,140,平成31年,足立,61000000,40106,平成,31,4.0
809,30,290,75,昭和37年,足立,17000000,40106,昭和,37,61.0
812,30,150,130,昭和45年,足立,8000000,40106,昭和,45,53.0
817,30,150,105,令和4年,足立,28000000,40106,令和,4,0.0
819,30,150,85,令和4年,足立,37000000,40106,令和,4,0.0
820,25,190,115,令和3年,泉台,37000000,40106,令和,3,1.0
821,23,165,65,昭和40年,泉台,1100000,40106,昭和,40,58.0
823,23,150,110,令和3年,泉台,34000000,40106,令和,3,1.0
829,30,280,310,昭和63年,井堀,26000000,40106,昭和,63,35.0
832,60,170,105,令和3年,井堀,30000000,40106,令和,3,1.0
835,60,200,110,平成31年,井堀,32000000,40106,平成,31,4.0
837,30,220,95,昭和63年,井堀,19000000,40106,昭和,63,35.0
839,14,200,75,昭和48年,今町,2300000,40106,昭和,48,50.0
843,21,155,135,昭和59年,宇佐町,15000000,40106,昭和,59,39.0
876,25,120,90,昭和56年,大畠,9500000,40106,昭和,56,42.0
882,8,165,100,平成26年,片野,29000000,40106,平成,26,9.0
884,7,290,880,昭和54年,片野,58000000,40106,昭和,54,44.0
898,10,125,105,令和3年,片野新町,29000000,40106,令和,3,1.0
901,9,125,110,令和3年,片野新町,32000000,40106,令和,3,1.0
904,5,155,220,昭和63年,片野新町,38000000,40106,昭和,63,35.0
912,19,220,125,昭和54年,金田,300000,40106,昭和,54,44.0
929,28,140,105,令和3年,上富野,29000000,40106,令和,3,1.0
931,26,175,105,平成30年,上富野,33000000,40106,平成,30,5.0
942,12,145,120,令和3年,貴船町,33000000,40106,令和,3,1.0
949,5,105,85,平成27年,木町,16000000,40106,平成,27,8.0
951,6,85,90,昭和49年,木町,500000,40106,昭和,49,49.0
952,4,70,130,令和3年,木町,34000000,40106,令和,3,1.0
959,4,95,185,昭和56年,木町,17000000,40106,昭和,56,42.0
966,20,135,55,昭和41年,清水,1700000,40106,昭和,41,57.0
971,16,150,110,令和2年,清水,28000000,40106,令和,2,2.0
986,16,260,105,令和2年,霧ケ丘,35000000,40106,令和,2,2.0
990,21,230,30,昭和47年,熊谷,5800000,40106,昭和,47,51.0
992,20,145,80,昭和53年,熊谷,3800000,40106,昭和,53,45.0
993,19,200,105,昭和45年,熊谷,3000000,40106,昭和,45,53.0
994,16,130,55,昭和42年,熊谷,200000,40106,昭和,42,56.0
1001,23,90,55,昭和46年,熊谷,2500000,40106,昭和,46,52.0
1002,24,130,50,昭和44年,熊谷,600000,40106,昭和,44,54.0
